StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q50,Q1,Q1_3_TEXT,Q2,Q2_7_TEXT,Q3,Q4,Q5,Q6,Q7,Q8,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q39,Q23,Q24,Q25,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q23,Q24,Q25,Q26,Q27,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q31,Q32,Q33,Q33_5_TEXT,Q34,Q35,Q36,Q38,Random ID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Research Subject’s Consent to Participate in Research:

By entering this survey, you are indicating that you have read the consent form, you are age 18 or older, are enrolled in an undergraduate computing degree program at a U.S. institution, and that you voluntarily agree to participate in this research study.",What is your gender? - Selected Choice,What is your gender? - Another gender identity not listed here (please specify) - Text,What is your race/ethnicity? Select all that apply. - Selected Choice,What is your race/ethnicity? Select all that apply. - Another race/ethnicity not listed here (please specify) - Text,What is your age?,What is the name of the US institution at which you are enrolled in a computing degree program?,How heavy is your courseload this academic term?,How heavy is your typical courseload?,What is your current GPA?,"Since you first started, how long have you been working on this degree?","When you first started your computing degree program, how often did you use school-provided tutoring?","Currently, how often do you use school-provided tutoring?","When you first started your computing degree program, not counting mandatory advising meetings, how often did you use academic advising?","Currently, not counting mandatory advising meetings, how often do you use academic advising?","When you first started your computing degree program, how often did you use other academic resources, like study groups, learning centers, etc.?","Currently, how often do you use other academic resources, like study groups, learning centers, etc.?",Do you have a regular study group?,"When you choose classes, do you prefer classes that people you know are taking?",Have you ever had an internship?,Have you ever participated in undergraduate research?,Have you ever attended an academic conference?,Have you ever pursued any entrepreneurship?,Have you ever participated in service learning (in which you do volunteer work as a component of classroom learning)?,Have you ever participated in a student organization?,About how many hours per week do you spend on each of these activities? - Studies and Schoolwork,"About how many hours per week do you spend on each of these activities? - Other Work Obligations (employment, volunteer work, entrepreneurship, etc.)",About how many hours per week do you spend on each of these activities? - Professional Development and Job Skills (not required by work),About how many hours per week do you spend on each of these activities? - Weekly Sleeping,About how many hours per week do you spend on each of these activities? - Eating and Cooking,About how many hours per week do you spend on each of these activities? - Weekly Exercise,About how many hours per week do you spend on each of these activities? - Commuting,About how many hours per week do you spend on each of these activities? - Personal Relationships,About how many hours per week do you spend on each of these activities? - Hobbies and Fun,About how many hours per week do you spend on each of these activities? - Parenting or Caretaking,About how many hours per week do you spend on each of these activities? - Household Responsibilities,About how many hours per week do you spend on each of these activities? - Athletics,About how many hours per week do you spend on each of these activities? - Student Organizations,About how many hours per week do you spend on each of these activities? - Other Activities,"In general, how often do you cut back on sleep to make more time for schoolwork?","In general, how often do you cut back on other work obligations to make more time for schoolwork?","In general, how often do you cut back on personal relationships to make more time for schoolwork?","In general, how often do you cut back on hobbies and fun to make more time for schoolwork?","In general, how often do you cut back on other responsibilities to make more time for schoolwork?","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Other Work Obligations (employment, volunteer work, entrepreneurship, etc.)","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Professional Development and Job Skills (not required by work)","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Sleeping","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Eating and Cooking","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Exercise","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Commuting","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Personal Relationships","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Hobbies and Fun","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Parenting or Caretaking","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Household Responsibilities","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Athletics","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Student Organizations","For each of the activities below, consider the last time you felt there was a time conflict between the activity and your schoolwork. How did you handle the conflict? - Other Activities","Which activities, if any, most often conflict with your schoolwork?",How do you usually resolve any such conflicts?,"If you were to leave your computing program in the future, what would be the most likely reason for your decision? - Selected Choice","If you were to leave your computing program in the future, what would be the most likely reason for your decision? - Other (please specify) - Text","If you left your computing program, what would you do instead?",How would you rate your intention to continue your program next academic term?,How would you rate your confidence that you will complete your computing degree?,How would you rate your sense of belonging in your degree program?,Random ID
2023-02-28 15:36:30,2023-02-28 16:00:14,IP Address,100,1423,TRUE,2023-02-28 16:00:15,R_3GD16k1bIfWrOZR,anonymous,EN,I agree and consent,Man,,White,,18-24,University of Wisconsin - Milwaukee,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,At least once a month,At least once a week,At least once in the semester,At least once in the semester,Never,At least once a week,No,Yes,No,Yes,,No,No,Yes,45,0,2,50,10,0,3,10,10,0,2,0,0,10,Sometimes,Sometimes,Sometimes,Often,Sometimes,Reduced time on the activity,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,"Hobbies and fun, sleeping, personal relationships.",Try to focus entirely on schoolwork during dedicated time for it. Spare time if any then for other activities.,To pursue other interests,,Independently teach myself programming on my own time.,I fully intend to,Very confident,,92235366
2023-03-01 13:45:53,2023-03-01 13:55:09,IP Address,100,555,TRUE,2023-03-01 13:55:09,R_3Rh0aSiKulVHOmw,anonymous,EN,I agree and consent,Man,,White,,18-24,UW-Milwaukee,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,Never,At least once a week,At least once in the semester,At least once in the semester,Never,At least once a week,Yes,No,No,No,,No,No,Yes,20,22,1,50,5,1.5,4,35,15,0,4,0,5,0,Occasionally,Never,Often,Sometimes,Often,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on schoolwork,Reduced time on schoolwork,Found a way not to reduce time on either,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Reduced time on schoolwork,Can't recall such a conflict,"Clubs and work, both of which take up great homework time. ",Struggle to complete homework to get the grade. ,Not doing well enough academically,,No idea,I fully intend to,Very confident,,1717360
2023-03-02 19:51:17,2023-03-02 19:59:03,IP Address,100,465,TRUE,2023-03-02 19:59:03,R_WusnTC0ytl3LoIx,anonymous,EN,I agree and consent,Man,,White,,25-34,University of Wisconsin Milwaukee,Less than half couseload,Less than half couseload,3.3 - 4.0,More than 12 months but less than 3 years,At least once in the semester,At least once a week,At least once in the semester,At least once in the semester,At least once in the semester,At least once a month,No,Yes,No,No,,No,No,No,30,40,,50,5,0,10,15,0,0,4,0,0,2,Often,Sometimes,Sometimes,Often,Sometimes,Reduced time on schoolwork,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Found a way not to reduce time on either,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,A full time job and sleep,I operate on low amounts of sleep and use almost all my time not at my full time job working on schoolwork.,Not doing well enough academically,,Not sure,I mostly intend to,Somewhat confident,,33128769
2023-03-03 16:53:25,2023-03-03 17:00:15,IP Address,100,409,TRUE,2023-03-03 17:00:15,R_3WcRNvyiKhHkjYZ,anonymous,EN,I agree and consent,Man,,White,,18-24,UW Milwaukee,Full courseload,Full courseload,3.3 - 4.0,12 months or less,Never,Never,Never,Never,Never,Never,No,Yes,No,No,,No,Yes,Yes,30,0,0,56,10,5,5,15,15,0,3,0,0,0,Occasionally,Never,Occasionally,Often,Occasionally,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Reduced time on schoolwork,Reduced time on the activity,Reduced time on schoolwork,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Reduced time on schoolwork,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Being with friends,Reschedule or put off hanging out with friends,To pursue other interests,,Maybe engineering or visual art.,I fully intend to,Very confident,,33501555
2023-03-06 11:28:54,2023-03-06 11:40:26,IP Address,100,692,TRUE,2023-03-06 11:40:26,R_ys9vgzBvEm3lckN,anonymous,EN,I agree and consent,Woman,,Asian,,18-24,University of Wisconsin-Milwaukee,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,At least once in the semester,At least once in the semester,At least once in the semester,At least once in the semester,Never,At least once in the semester,No,No,No,Yes,,No,No,Yes,4060,10,2,4250,21,3,10,2,0,4,13,0,1,10,Sometimes,Sometimes,Often,Often,Sometimes,Reduced time on the activity,Reduced time on the activity,Reduced time on the activity,Reduced time on schoolwork,Reduced time on the activity,Reduced time on schoolwork,Reduced time on the activity,Reduced time on the activity,Reduced time on schoolwork,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,sleep,get as much as of the school work done as i can,Not enough time for studies in this program,,Probably come back and try again. or start in another path in computing.,I fully intend to,Mostly confident,,40092045
2023-03-07 11:32:06,2023-03-07 11:41:35,IP Address,100,568,TRUE,2023-03-07 11:41:35,R_31mZF7bN3lcda7n,anonymous,EN,I agree and consent,Man,,White,,35-44,University of Wisconsin - Milwaukee,Full courseload,Full courseload,2.2 - 2.79,3 years or more,Never,Never,Never,Never,At least once in the semester,At least once a week,No,No,No,No,,No,No,Yes,30,0,0,49,11,0,2,20,15,0,5,0,0,5,Occasionally,Sometimes,Occasionally,Sometimes,Sometimes,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,"Personal Relationships, Hobbies and Fun",Reduce time on those activities,Financial challenges,,Go back to my old job,I fully intend to,Very confident,,27723366
2023-02-28 18:37:16,2023-03-01 20:53:42,IP Address,65,94585,FALSE,2023-03-08 20:53:43,R_6y4sTelxMUJuJmp,anonymous,EN,I agree and consent,Man,,Black or African American,,35-44,University fof Wisconsin Milwaukee ,Less than half couseload,Less than full but at least half courseload,0 - 2.19,12 months or less,At least once a week,Never,At least once a week,At least once a month,Never,At least once a week,No,Yes,No,No,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57138751
2023-03-09 8:45:36,2023-03-09 9:02:24,IP Address,100,1007,TRUE,2023-03-09 9:02:24,R_21gpxOdD6NxEABu,anonymous,EN,I agree and consent,Man,,White,,18-24,University of Wisconsin - Milwaukee,Full courseload,Full courseload,3.3 - 4.0,More than 12 months but less than 3 years,At least once a month,At least once in the semester,Never,Never,Never,Never,No,,No,No,No,No,No,No,30,20,5,42,10,0,5,20,14,0,10,0,0,12,Sometimes,Occasionally,Sometimes,Often,Often,Reduced time on schoolwork,Reduced time on the activity,Reduced time on the activity,Reduced time on schoolwork,Can't recall such a conflict,Can't recall such a conflict,Reduced time on schoolwork,Reduced time on the activity,Can't recall such a conflict,Reduced time on the activity,Can't recall such a conflict,Can't recall such a conflict,Reduced time on the activity,"Work, professional development, and personal relationships.",Neglecting one or the other depending on determined importance of the conflicting activity or schoolwork.,Financial challenges,,"Try to continue pursuing a career in computer science, likely with less success due to a lack of accountability and time.",I fully intend to,Very confident,I strongly feel like I belong,92513756
2023-03-04 16:04:58,2023-03-04 16:06:02,IP Address,30,63,FALSE,2023-03-11 16:06:04,R_Y5MnCEi8kdyNKIF,anonymous,EN,I agree and consent,Man,,Another race/ethnicity not listed here (please specify),Arab,18-24,,Full courseload,Full courseload,2.2 - 2.79,More than 12 months but less than 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50243374
